,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
50,Condominium/Apartment,0.12065146579804562,1,0.5714285714285714,410000,Kuala Lumpur,Setapak,0.1646415552855407,0.05034965034965035,0.45098039215686275,0.09523809523809523,0.2
51,Condominium/Apartment,0.06592833876221499,1,0.42857142857142855,335000,Kuala Lumpur,Wangsa Maju,0.20048602673147023,0.039860139860139865,0.5490196078431372,0.09523809523809523,0.3333333333333333
52,Condominium/Apartment,0.11504885993485342,1,0.7142857142857142,535000,Kuala Lumpur,Bandar Menjalara,0.22964763061968405,0.06783216783216783,0.3333333333333333,0.19047619047619047,0.13333333333333333
53,Condominium/Apartment,0.08273615635179155,1,0.42857142857142855,184803,Kuala Lumpur,Salak Selatan,0.08566221142162818,0.018853566433566435,0.3235294117647059,0.21428571428571427,0.2
54,Condominium/Apartment,0.2917263843648208,1,0.5714285714285714,1500000,Kuala Lumpur,Mont Kiara,0.3226002430133657,0.20279720279720279,0.3431372549019608,0.07142857142857142,0.2
55,Condominium/Apartment,0.08416938110749186,1,0.2857142857142857,570000,Kuala Lumpur,Mont Kiara,0.3061968408262454,0.07272727272727274,0.3431372549019608,0.07142857142857142,0.2
56,Flat,0.0196742671009772,1,0.2857142857142857,185000,Kuala Lumpur,Setapak,0.17922235722964763,0.01888111888111888,0.4411764705882353,0.07142857142857142,0.26666666666666666
57,Condominium/Apartment,0.042084690553745925,1,0.42857142857142855,450000,Kuala Lumpur,Pantai Dalam/Kerinchi,0.3517618469015795,0.05594405594405595,0.4019607843137255,0.30952380952380953,0.4666666666666667
58,Condominium/Apartment,0.09954397394136807,1,0.42857142857142855,360000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),0.1646415552855407,0.04335664335664336,0.3137254901960784,0.19047619047619047,0.13333333333333333
59,Condominium/Apartment,0.01824104234527687,1,0.2857142857142857,200000,Kuala Lumpur,Taman Setiawangsa,0.19927095990279464,0.02097902097902098,0.3137254901960784,0.07142857142857142,0.4
60,Condominium/Apartment,0.05328990228013029,1,0.42857142857142855,288000,Kuala Lumpur,Cheras,0.19198055893074117,0.03328671328671329,0.4019607843137255,0.26190476190476186,0.4666666666666667
