,name,category,latitude,longitude
4755,Sekolah Jenis Kebangsaan (Tamil) Ldg West Country 'Timur',education,2.964208761,101.7883427
4756,Sekolah Menengah Kebangsaan Jalan Reko,education,2.964731,101.78948299999999
4757,Sekolah Menengah Kebangsaan Jalan Empat,education,2.9609080000000003,101.78196899999999
4758,Aviation Management College,education,2.964445,101.779718
4759,Rafflesia International School Kajang,education,2.963524,101.803481
4760,Rafflesia Private School Kajang,education,2.963524,101.803481
4761,Sekolah Kebangsaan Jalan Empat,education,2.951248,101.779538
4762,Brainy Bunch Seksyen 9 Bandar Baru Bangi (new),education,2.949488,101.778814
4763,Brainy Bunch Seksyen 15 Bandar Baru Bangi (new),education,2.949488,101.778814
4764,Brainy Bunch - Seksyen 4 Bandar Baru Bangi,education,2.949488,101.778814
4765,Brainy Bunch Seksyen 7 Bandar Baru Bangi (new),education,2.949488,101.778814
4766,Sekolah Menengah Kebangsaan Kajang Utama,education,2.973235,101.795234
4767,Sekolah Kebangsaan Kajang Utama,education,2.973839,101.794229
4768,Sekolah Kebangsaan Jalan 3,education,2.9460889999999997,101.779441
4769,Sekolah Menengah Kebangsaan Jalan Tiga,education,2.9442209999999998,101.779884
4770,Sekolah Kebangsaan Seksyen 7,education,2.970422,101.775508
4771,Sekolah Kebangsaan Bandar Baru Bangi,education,2.946143,101.770983
4772,Sekolah Menengah Kebangsaan Bandar Baru Bangi,education,2.9466069999999998,101.769725
4773,Sekolah Kebangsaan (2) Jalan Bukit,education,2.9836139999999998,101.79166
4774,GMI - German-Malaysian Institute,education,2.9332599999999998,101.79805400000001
4775,Sekolah Kebangsaan Jalan Bukit Satu,education,2.9840880000000003,101.791966
4776,Britannia Women & Children Specialist Centre,healthcare,2.9773391,101.7952565
4777,Ukm,transportation,2.9394577,101.78767629999999
4778,Kajang,transportation,2.982911,101.790543
4779,Kajang,transportation,2.983756,101.790205
4780,Sekolah Menengah Kebangsaan Saujana Impian,education,3.013302,101.788618
4781,Sekolah Kebangsaan Saujana Impian,education,3.012838,101.787166
4782,Sekolah Kebangsaan Saujana Impian (2),education,3.021045,101.79203199999999
4783,Brainy Bunch  - Saujana Impian Kajang,education,3.0159225,101.7960358
4784,Sekolah Menengah Agama Persekutuan Kajang,education,3.0197060000000002,101.780673
4785,Sekolah Menengah Kebangsaan Sultan Abdul Aziz Shah,education,3.005643,101.782853
