project_id,project_name,transacted_price,unit_price_psf,date,property_type,tenure,floor,area_sqft,non_landed,bedrooms,street_name,psf,price,state,planning_region
15193,Strand Residensi,1050000,723,1575331200,Hotel/Service Apartment,Leasehold,23,1453,1,3,JALAN PJU 5/23,723,1050000,Selangor,Kota Damansara
23628,Taman Indah Puteri,468060,146,1577491200,Semi-Detached House,Leasehold,None,3197,0,4,JALAN IP 28,146,468060,Selangor,Sepang
23628,Taman Indah Puteri,468060,146,1577491200,Semi-Detached House,Leasehold,None,3197,0,3,JALAN IP 28,146,468060,Selangor,Sepang
28531,Taman Sri Pelangi,438800,285,1575417600,Terrace House,Leasehold,None,1539,0,4,JALAN SUNGAI RABA,285,438800,Selangor,
28531,Taman Sri Pelangi,438800,285,1575417600,Terrace House,Leasehold,None,1539,0,4,JALAN SUNGAI RABA,285,438800,Selangor,
8835,Bandar Bukit Raja,665000,441,1575244800,Terrace House,Leasehold,None,1507,0,4,JALAN NGAJAT 3/KU5,441,665000,Selangor,Bandar Bukit Raja
14042,Bandar Mahkota Banting (Brooklands),335000,203,1577577600,Terrace House,Leasehold,None,1647,0,4,JALAN ANGKASA,203,335000,Selangor,Banting
8873,Bangi Avenue,490000,376,1576454400,Terrace House,Leasehold,None,1302,0,4,JALAN BANGI AVENUE 6/10,376,490000,Selangor,Bangi
9233,Cheras Vista,693000,450,1576627200,Terrace House,Leasehold,None,1539,0,4,JALAN VISTA 3/1A,450,693000,Selangor,Cheras South
14151,Cyberia SmartHome,322896,353,1575936000,Condominium/Apartment,Leasehold,10,915,1,3,PERSIARAN MULTIMEDIA,353,322896,Selangor,Cyberjaya
9435,Denai Alam,230000,209,1576195200,Terrace House,Leasehold,None,1098,0,3,JALAN 2A,209,230000,Selangor,Denai Alam
9470,Desa Impiana Taman Puchong Prima,320000,306,1575590400,Condominium/Apartment,Leasehold,10,1044,1,3,JALAN PRIMA UTAMA,306,320000,Selangor,Puchong
23964,Elmina West @ Denai Alam,690000,493,1576368000,Terrace House,Leasehold,None,1399,0,4,JALAN METAFASA U16/161,493,690000,Selangor,Shah Alam
15080,Hillside Estate,499000,283,1576454400,Terrace House,Leasehold,None,1765,0,4,JALAN HILLSIDE ESTATE,283,499000,Selangor,Ampang
9867,Idaman Apartment,60000,93,1577318400,Flat,Leasehold,G,646,1,3,JALAN PJU 10/1,93,60000,Selangor,Damansara Damai
9886,Ilham Apartment TTDI Jaya,225000,286,1576454400,Condominium/Apartment,Leasehold,13,786,1,3,JALAN SASTERA U2/1,286,225000,Selangor,Taman TTDI Jaya
9895,Impian Meridian,500000,394,1575244800,Hotel/Service Apartment,Leasehold,15,1270,1,3,JALAN SUBANG 1,394,500000,Selangor,USJ
15724,Kelana D'Putera,458000,398,1576022400,Condominium/Apartment,Leasehold,16,1152,1,3,JALAN SS 7/26,398,458000,Selangor,Kelana Jaya
10167,Koi Tropika,380000,384,1575244800,Condominium/Apartment,Leasehold,3A,990,1,3,JALAN PUCHONG BATU 13 1/2,384,380000,Selangor,Bandar Puteri Puchong
10919,Mirage By The Lake @ Perdana Lakeview West,912800,902,1576627200,Condominium/Apartment,Leasehold,6,1012,1,3,JALAN MIRAGE 2,902,912800,Selangor,Cyberjaya
10789,Palmville,800000,459,1576454400,Condominium/Apartment,Leasehold,8,1744,1,3,JALAN LAGOON TIMUR,459,800000,Selangor,Bandar Sunway
8643,Pangsapuri PKNS SS3,130000,216,1577318400,Condominium/Apartment,Leasehold,14,603,1,2,JALAN SS 3/39,216,130000,Selangor,Kelana Jaya
14779,Perdana Selatan,400000,391,1575849600,Hotel/Service Apartment,Leasehold,20,1023,1,3,PERDANA SELATAN,391,400000,Selangor,Seri Kembangan
15892,Pusat Perhentian Kajang,80000,111,1576195200,Flat,Leasehold,13,721,1,3,JALAN HENTIAN 5,111,80000,Selangor,Kajang
11310,Saujana Impian,450000,454,1575244800,Terrace House,Leasehold,None,990,0,3,JALAN IMPIAN MURNI 3/9,454,450000,Selangor,Kajang
11355,Section 10 Petaling Jaya,550000,341,1575331200,Terrace House,Leasehold,None,1615,0,3,JALAN 10/10A,341,550000,Selangor,Petaling Jaya
22714,Seksyen 32 Shah Alam,385000,325,1576195200,Terrace House,Leasehold,None,1184,0,3,JALAN SUNGAI LONG 32/155,325,385000,Selangor,Shah Alam
17114,Sierra 1 Odora Parkhomes,529900,285,1575244800,Town House,Leasehold,None,1862,0,3,JALAN SIERRA 1/3,285,529900,Selangor,Puchong South
13978,SS 20 Damansara Utama,1000000,607,1575244800,Terrace House,Leasehold,None,1647,0,4,JALAN SS 20/16,607,1000000,Selangor,Damansara Utama
11773,SS 5 Kelana Jaya,645000,408,1575849600,Terrace House,Leasehold,None,1582,0,3,JALAN SS 5A/15,408,645000,Selangor,Kelana Jaya
9072,Sunway Damansara,980000,460,1577750400,Town House,Leasehold,None,2131,0,3,JALAN PJU 3/30,460,980000,Selangor,Sunway Damansara
12101,Taman Bukit Mayang Emas,715000,583,1575244800,Terrace House,Leasehold,None,1227,0,4,JALAN BM 1/1,583,715000,Selangor,Tropicana
12610,Taman Meranti Jaya,690000,493,1575590400,Terrace House,Leasehold,None,1399,0,3,JALAN MERANTI JAYA 1/11,493,690000,Selangor,Puchong
22811,Taman Panglima,50000,36,1575331200,Terrace House,Leasehold,None,1399,0,2,JALAN TOMBAK,36,50000,Selangor,Telok Panglima Garang
13999,Taman Pinggiran USJ ,265000,189,1575331200,Terrace House,Leasehold,None,1399,0,3,JALAN PINGGIRAN USJ 3/3,189,265000,Selangor,USJ
23571,Taman Sri Dagang,440000,368,1575331200,Terrace House,Leasehold,None,1195,0,3,JALAN SD1 1/25,368,440000,Selangor,Banting
13079,Taman Sri Putra,270000,193,1575417600,Terrace House,Leasehold,None,1399,0,4,JALAN TOMAN 6,193,270000,Selangor,Banting
16049,Taman Tanjung Tanjung Sepat,100000,119,1576454400,Terrace House,Leasehold,None,840,0,2,JALAN TAMAN TANJUNG,119,100000,Selangor,Tanjong Sepat
13218,Taman Universiti Indah,600000,303,1575936000,Terrace House,Leasehold,None,1981,0,3,JALAN INDAH 1/28,303,600000,Selangor,Seri Kembangan
15566,Tamera Residence,535700,383,1577232000,Terrace House,Leasehold,None,1399,0,4,JALAN 3/10,383,535700,Selangor,Jenjarom
21820,Trefoil,325000,671,1576195200,Hotel/Service Apartment,Leasehold,36,484,1,None,JALAN SETIA DAGANG AH U13/AH,671,325000,Selangor,Setia Alam/Alam Nusantara
13538,Tropicana City Tropics,475000,761,1576454400,Hotel/Service Apartment,Leasehold,8,624,1,2,JALAN SS 20/27,761,475000,Selangor,Petaling Jaya
13580,Univ 360 Place,502000,555,1576195200,Hotel/Service Apartment,Leasehold,6,904,1,3,JALAN RAYA 2,555,502000,Selangor,Seri Kembangan
13592,USJ 11,1100000,330,1575936000,Terrace House,Leasehold,None,3337,0,3,JALAN USJ 11/7,330,1100000,Selangor,USJ
13600,USJ 2,675000,432,1575244800,Terrace House,Leasehold,None,1561,0,3,JALAN USJ 2/4E,432,675000,Selangor,USJ
13603,USJ 22,850000,343,1575763200,Terrace House,Leasehold,None,2476,0,3,JALAN USJ 22/2B,343,850000,Selangor,USJ
13606,USJ 3,740000,619,1575849600,Terrace House,Leasehold,None,1195,0,3,JALAN USJ 3/4B,619,740000,Selangor,USJ
13632,Venice Hill,120000,78,1576713600,Condominium/Apartment,Leasehold,B33/A/3,1539,1,3,PERSIARAN PUTERI 1,78,120000,Selangor,Batu 9th Cheras
