project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
16451,10784.0,5.317661,100.433457,Taman Mengkudu Flat,Penang,Juru,JALAN MENGKUDU,7,117.0,81429
17495,267589.0,5.267437,100.453105,Taman Merpati Indah,Penang,Bukit Tambun,LORONG MERPATI INDAH 5,7,157.0,194143
17374,267285.0,5.442943,100.390726,Taman Pandan Indah,Penang,Raja Uda,LORONG PANDAN INDAH 1,7,159.0,143572
17666,267725.0,5.3368576,100.4791693,Taman Permata Indah,Penang,Alma,JALAN PERMATA 1,7,178.0,204286
12860,265271.0,5.34452,100.463865,Taman Saujana Permai,Penang,Bukit Mertajam,JALAN MUTIARA 4,51,288.0,378106
11253,5591.0,5.4102747,100.3738391,Ria Apartment,Penang,Butterworth,LEBUH KAMPUNG BENGGALI,50,268.0,214700
9505,3849.0,5.402750015,100.3300018,Desa Pinang 2,Penang,Sungai Pinang,LEBUH SUNGAI PINANG 7,49,301.0,173472
17379,267286.0,5.3864794,100.4075247,Taman Tun Hussein Onn,Penang,Seberang Perai,JALAN JENAHAK,49,131.0,110664
17914,267366.0,5.370289,100.27596,Taman Terubong Jaya,Penang,Paya Terubong,TINGKAT PAYA TERUBONG 3,48,177.0,114188
9594,3938.0,5.322720051,100.2839966,Elit Heights,Penang,Bayan Baru,JALAN MAYANG PASIR 3,47,468.0,641451
17300,267439.0,5.2670567,100.4706057,Taman Merak Jaya,Penang,Bukit Tambun,LORONG MERAK 57,47,133.0,127586
17326,267459.0,5.334483,100.4891311,Taman Sejahtera,Penang,Alma,LORONG SEJAHTERA 6,46,186.0,219022
17296,267435.0,5.2132546,100.5090621,Taman Seruling Emas,Penang,Sungai Bakap,JALAN SERULING EMAS 4,46,115.0,132620
17329,267462.0,5.3279611,100.5180678,Taman Bidara,Penang,Bukit Mertajam,LORONG BIDARA 18,45,169.0,212200
17711,267765.0,5.3340815,100.2256473,Taman Pondok Upeh,Penang,Balik Pulau,LORONG SERI GENTING 10,7,260.0,305000
11262,5600.0,5.406397,100.288616,Taman Rifle,Penang,Ayer Itam,PEKELILING SEMPADAN,7,394.0,667619
17873,267911.0,5.4157059,100.3035853,Taman Scotland,Penang,Georgetown,SOLOK PIGGOT,7,186.0,1330000
15129,9462.0,5.388739,100.308447,Taman Selatan,Penang,Jelutong,MEDAN PENAGA,7,427.0,289429
17637,267701.0,5.1402945,100.4818595,"Taman Selesa, Nibong Tebal",Penang,Nibong Tebal,LORONG MURAI 5,7,153.0,226429
17968,267993.0,5.1677222,100.4751608,"Taman Sentosa, Nibong Tebal",Penang,Nibong Tebal,JALAN BAYAN,7,103.0,246286
